   flips   |   errors   
 [1,  1,  1,  1,  1,  1,  0,  1,  0,  1,  1,  0] | [9,  33] 
 [0,  0,  0,  1,  0,  0,  1,  0,  1,  0,  0,  0] | [18,  35] 
 [1,  1,  1,  1,  1,  1,  1,  1,  0,  0,  0,  1] | [12,  35] 
 [0,  1,  1,  1,  0,  0,  0,  1,  0,  1,  0,  0] | [14,  40] 
 [0,  1,  1,  0,  1,  1,  0,  1,  1,  0,  0,  1] | [10,  40] 
 [1,  0,  1,  1,  0,  1,  1,  1,  1,  0,  1,  0] | [10,  31] 
 [0,  1,  0,  1,  1,  1,  1,  0,  1,  1,  0,  0] | [17,  29] 
 [1,  1,  1,  0,  1,  0,  0,  0,  1,  1,  0,  1] | [15,  39] 
 [0,  0,  1,  1,  0,  1,  0,  1,  1,  0,  1,  0] | [8,  50] 
 [0,  0,  0,  1,  0,  0,  0,  1,  1,  0,  1,  0] | [15,  36] 
 [1,  0,  1,  1,  1,  0,  1,  1,  0,  1,  0,  0] | [9,  40] 
 [1,  1,  0,  1,  1,  1,  1,  0,  0,  0,  1,  1] | [5,  39] 
 [0,  0,  0,  1,  0,  0,  0,  1,  0,  0,  1,  1] | [12,  35] 
 [0,  1,  0,  1,  1,  1,  1,  1,  0,  1,  0,  1] | [13,  38] 
 [1,  1,  1,  1,  1,  0,  0,  1,  0,  0,  1,  1] | [15,  36] 
 [0,  0,  1,  1,  1,  1,  1,  0,  1,  1,  0,  0] | [10,  30] 
 [0,  1,  1,  0,  1,  0,  0,  0,  0,  0,  0,  1] | [8,  37] 
 [1,  1,  1,  0,  0,  0,  1,  1,  1,  1,  1,  0] | [11,  35] 
 [1,  0,  1,  1,  1,  1,  0,  0,  1,  0,  1,  0] | [12,  46] 
 [1,  0,  1,  0,  1,  0,  0,  0,  0,  1,  0,  1] | [10,  34] 
 [1,  0,  0,  1,  0,  0,  1,  0,  0,  0,  0,  0] | [12,  44] 
 [0,  0,  0,  1,  1,  1,  0,  1,  1,  0,  1,  1] | [13,  42] 
 [1,  0,  1,  1,  1,  0,  0,  1,  1,  0,  0,  1] | [8,  45] 
 [0,  0,  0,  0,  1,  1,  0,  0,  1,  0,  0,  0] | [11,  32] 
 [0,  0,  1,  0,  0,  1,  0,  0,  0,  1,  0,  1] | [14,  36] 
 [0,  1,  1,  1,  1,  0,  0,  0,  1,  0,  1,  1] | [10,  35] 
 [1,  1,  0,  1,  0,  1,  0,  1,  0,  1,  0,  1] | [17,  33] 
 [0,  1,  1,  1,  0,  0,  1,  0,  0,  1,  1,  0] | [6,  35] 
 [1,  1,  0,  0,  1,  0,  0,  1,  0,  0,  0,  0] | [6,  38] 
 [0,  0,  1,  1,  0,  0,  0,  0,  0,  1,  1,  1] | [21,  35] 
 [1,  1,  0,  1,  0,  1,  0,  0,  0,  1,  0,  1] | [12,  36] 
 [1,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  1] | [16,  38] 
 [1,  1,  1,  1,  0,  1,  0,  0,  0,  0,  1,  0] | [13,  44] 
 [0,  0,  1,  1,  0,  1,  0,  1,  0,  0,  0,  1] | [11,  32] 
 [1,  1,  0,  0,  0,  1,  0,  0,  0,  0,  1,  1] | [10,  42] 
 [0,  0,  1,  1,  1,  1,  1,  1,  1,  0,  0,  0] | [18,  35] 
 [1,  0,  1,  0,  1,  1,  0,  0,  1,  1,  0,  1] | [9,  34] 
 [1,  0,  1,  0,  1,  0,  1,  1,  0,  1,  1,  0] | [17,  38] 
 [1,  1,  1,  1,  0,  1,  1,  1,  0,  0,  1,  1] | [16,  45] 
 [1,  0,  1,  0,  1,  0,  0,  0,  0,  0,  1,  1] | [10,  30] 
 [1,  1,  0,  1,  1,  0,  1,  1,  0,  0,  1,  0] | [12,  32] 
 [0,  0,  0,  1,  1,  0,  1,  0,  0,  0,  1,  1] | [16,  28] 
 [0,  1,  0,  0,  0,  0,  1,  0,  1,  1,  1,  1] | [11,  44] 
 [1,  1,  0,  0,  0,  0,  0,  0,  1,  0,  0,  1] | [16,  26] 
 [0,  0,  0,  1,  1,  1,  0,  0,  0,  1,  1,  1] | [10,  34] 
 [0,  0,  0,  0,  1,  0,  1,  1,  1,  1,  0,  1] | [13,  35] 
 [0,  0,  1,  1,  0,  1,  1,  1,  0,  1,  0,  0] | [13,  35] 
 [0,  1,  0,  0,  1,  0,  1,  1,  0,  0,  0,  0] | [8,  31] 
 [0,  0,  0,  1,  1,  1,  1,  1,  0,  1,  1,  0] | [13,  34] 
 [1,  1,  1,  1,  0,  1,  1,  0,  1,  1,  1,  0] | [13,  34] 
 [1,  0,  1,  1,  0,  1,  0,  0,  1,  0,  1,  0] | [20,  20] 
 [1,  0,  0,  1,  0,  0,  1,  1,  1,  1,  0,  0] | [6,  46] 
 [1,  1,  0,  0,  0,  0,  1,  0,  0,  1,  0,  0] | [10,  41] 
 [1,  0,  0,  1,  0,  0,  0,  0,  1,  0,  0,  0] | [13,  38] 
 [1,  1,  1,  0,  1,  0,  0,  1,  0,  1,  0,  0] | [7,  47] 
 [1,  0,  0,  1,  1,  0,  1,  0,  1,  1,  0,  1] | [9,  34] 
 [1,  0,  1,  0,  0,  0,  1,  1,  0,  1,  1,  1] | [16,  33] 
 [1,  1,  0,  0,  1,  0,  0,  1,  1,  1,  1,  1] | [13,  40] 
 [0,  0,  0,  1,  0,  1,  1,  1,  0,  0,  0,  1] | [13,  34] 
 [1,  1,  1,  1,  0,  0,  0,  0,  0,  1,  0,  1] | [14,  34] 
 [0,  1,  1,  1,  1,  1,  1,  0,  0,  0,  0,  1] | [15,  37] 
 [1,  0,  0,  0,  1,  1,  0,  0,  0,  0,  1,  0] | [11,  35] 
 [1,  1,  1,  0,  0,  0,  0,  0,  0,  0,  1,  0] | [5,  31] 
 [1,  1,  1,  0,  1,  0,  1,  1,  0,  1,  1,  0] | [12,  41] 
 [0,  0,  1,  1,  1,  0,  1,  1,  1,  0,  0,  1] | [6,  34] 
 [0,  1,  0,  0,  0,  1,  1,  1,  1,  0,  1,  0] | [20,  43] 
 [0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0] | [8,  36] 
 [1,  0,  0,  1,  1,  1,  1,  0,  0,  0,  1,  0] | [13,  33] 
 [0,  0,  0,  1,  1,  0,  1,  0,  1,  0,  0,  1] | [10,  38] 
 [1,  0,  1,  0,  1,  0,  0,  0,  0,  1,  1,  1] | [15,  32] 
 [1,  0,  1,  0,  0,  0,  1,  1,  1,  0,  1,  1] | [12,  37] 
 [1,  1,  0,  0,  0,  0,  0,  0,  1,  1,  1,  1] | [10,  36] 
 [1,  0,  1,  1,  1,  0,  1,  1,  0,  1,  1,  0] | [8,  44] 
 [1,  1,  1,  1,  0,  0,  1,  1,  0,  1,  0,  0] | [7,  49] 
 [1,  1,  0,  1,  1,  1,  0,  1,  0,  1,  1,  0] | [11,  40] 
 [0,  0,  0,  0,  1,  1,  1,  0,  0,  1,  1,  1] | [11,  33] 
 [0,  0,  1,  0,  0,  1,  0,  1,  1,  1,  0,  1] | [10,  36] 
 [0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  1,  1] | [9,  35] 
 [1,  0,  1,  0,  1,  0,  0,  1,  1,  1,  1,  1] | [15,  37] 
 [1,  1,  0,  0,  1,  0,  1,  0,  0,  0,  1,  0] | [15,  24] 
 [0,  0,  0,  1,  1,  0,  0,  1,  1,  0,  1,  1] | [12,  36] 
 [0,  0,  0,  1,  0,  0,  1,  0,  1,  1,  1,  1] | [11,  37] 
 [0,  1,  0,  1,  0,  1,  0,  0,  1,  1,  0,  0] | [13,  30] 
 [0,  0,  0,  0,  1,  0,  0,  1,  0,  1,  0,  0] | [9,  35] 
 [1,  0,  0,  1,  1,  1,  1,  1,  1,  0,  1,  1] | [11,  31] 
 [1,  1,  1,  0,  0,  0,  0,  1,  0,  0,  1,  1] | [17,  33] 
 [1,  1,  0,  1,  1,  1,  0,  0,  0,  1,  0,  0] | [18,  39] 
 [1,  1,  0,  0,  1,  1,  1,  1,  1,  0,  1,  0] | [13,  39] 
